AccountName,Industry,Type,Rating,BillingCity,BillingState,Website,Phone
Blue Ocean Tech,Healthcare,Vendor,Hot,San Francisco,WA,www.blueoceantech.com,555-410-9237
Acme Corp,Manufacturing,Partner,Warm,Los Angeles,CO,www.acmecorp.com,555-141-7084
Tech Solutions,Technology,Vendor,Hot,Miami,FL,www.techsolutions.com,555-624-8599
Globex Corporation,Manufacturing,Partner,Hot,Boston,AZ,www.globexcorporation.com,555-368-3779
Startup Inc,Healthcare,Customer,Cold,Austin,IL,www.startupinc.com,555-424-1792
Green Horizon Ltd,Manufacturing,Vendor,Warm,New York,MA,www.greenhorizonltd.com,555-364-1884
NexGen Innovations,Finance,Reseller,Warm,Seattle,WA,www.nexgeninnovations.com,555-138-9407
Skyline Enterprises,Manufacturing,Customer,Warm,Chicago,NY,www.skylineenterprises.com,555-965-8484
Crimson Peak Solutions,Technology,Vendor,Warm,Miami,FL,www.crimsonpeaksolutions.com,555-710-6370
BrightPath Inc,Finance,Prospect,Warm,Los Angeles,NY,www.brightpathinc.com,555-346-6426
OmniTech Global,Manufacturing,Reseller,Hot,Austin,IL,www.omnitechglobal.com,555-184-5259
Global OmniTech,Manufacturing,Reseller,Hot,Austin,IL,www.omnitechglobal.com,555-184-5259
Silverline Systems,Manufacturing,Vendor,Cold,San Francisco,AZ,www.silverlinesystems.com,555-493-8297
Vertex Dynamics,Finance,Customer,Warm,San Francisco,CO,www.vertexdynamics.com,555-272-5241
Quantum Leap Co,Technology,Vendor,Hot,Chicago,MA,www.quantumleapco.com,555-275-6808
NovaCore Technologies,Manufacturing,Vendor,Cold,Phoenix,CA,www.novacoretechnologies.com,555-539-1873
Pinnacle Consulting,Technology,Customer,Hot,Miami,MA,www.pinnacleconsulting.com,555-362-2267
HarborView Analytics,Manufacturing,Reseller,Warm,Phoenix,IL,www.harborviewanalytics.com,555-240-1168
NextPhase Digital,Manufacturing,Reseller,Cold,Phoenix,CA,www.nextphasedigital.com,555-148-5971
CloudNine Ventures,Finance,Customer,Hot,Phoenix,IL,www.cloudnineventures.com,555-420-9488
Cobalt Ridge Solutions,Healthcare,Vendor,Hot,Miami,TX,www.cobaltridgesolutions.com,555-707-5571
